id,area,lat,lng
2758,Тбилиси,41.72249985,44.79249954
8,Майкоп,44.60555267,40.10888672
1180,Нерюнгри,56.67188644,124.64318848
1240,Новокузнецк,53.75405121,87.12995148
2,Санкт-Петербург,59.93848419,30.31248474
1,Москва,55.75654221,37.61492157
2061,Подольск (Московская область),55.4336319,37.54853058
1545,Новочеркасск,47.41173553,40.10046768
2759,Ташкент,41.31233597,69.27870941
3695,Промышленная,54.91305161,85.63816833
98,Ульяновск,54.3187027,48.39763641
1399,Магнитогорск,53.39318085,58.98773575
160,Алматы,43.23639297,76.94572449
24,Волгоград,48.70959091,44.5141716
78,Самара,53.20534897,50.16312027
107,Чебоксары,56.14326096,47.253479
47,Кемерово,55.40312195,86.03689575
58,Липецк,52.60134125,39.5766449
63,Саранск,54.18515015,45.18523407
41,Калининград,54.71809006,20.49717903
1512,Волжский (Волгоградская область),48.81419373,44.73679733
49,Киров (Кировская область),58.60531998,49.66877365
77,Рязань,54.62407684,39.75260925
29,Махачкала,42.97283554,47.49367905
1528,Урюпинск,50.79748154,42.00519562
23,Владимир,56.12847519,40.40724182
70,Оренбург,51.76782608,55.09766006
94,Турция,38.98909378,35.43323517
11,Барнаул,53.34754562,83.777771
66,Нижний Новгород,56.32655716,44.00811005
32,Иваново (Ивановская область),56.99546814,40.97821808
3,Екатеринбург,56.83764648,60.59452438
76,Ростов-на-Дону,47.22303772,39.72137451
53,Краснодар,45.0334549,38.98019791
4,Новосибирск,55.04999924,82.94999695
102,Хабаровск,48.47609329,135.06053162
104,Челябинск,55.16012573,61.39356613
159,Нур-Султан,51.1282196,71.43067169
236,Кипр,34.98230362,33.14513016
88,Казань,55.78433609,49.11981201
1220,Бийск,52.53921509,85.20781708
1236,Ленинск-Кузнецкий,54.66363525,86.16208649
72,Пермь,58.00675583,56.22857285
212,Тольятти,53.50857925,49.41915131
1930,Щекино,,
83,Смоленск,54.78067017,32.05226898
99,Уфа,54.77345657,56.03474808
1002,Минск,53.897686,27.54942131
